"fixed acidity","volatile acidity","citric acid","residual sugar","chlorides","free sulfur dioxide","total sulfur dioxide","density","pH","sulphates","alcohol","additional info","quality"
5.2,0.32,0.25,1.8,0.103,13,50,0.9957,3.38,0.55,9.2,0.732890447025053,5
7.8,0.645,0,5.5,0.086,5,18,0.9986,3.4,0.55,9.6,-0.41707391523691,6
7.8,0.6,0.14,2.4,0.086,3,15,0.9975,3.42,0.6,10.8,0.853737528089928,6
8.1,0.38,0.28,2.1,0.066,13,30,0.9968,3.23,0.73,9.7,-0.434911996041887,7
5.7,1.13,0.09,1.5,0.172,7,19,0.994,3.5,0.48,9.8,0.195279553347349,4
7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,-0.97199216316146,5
7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,-0.198946081865741,5
8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,-0.255046085825116,4
7.5,0.49,0.2,2.6,0.332,8,14,0.9968,3.21,0.9,10.5,0.456632775951641,6
8.1,0.66,0.22,2.2,0.069,9,23,0.9968,3.3,1.2,10.3,1.94311693898617,5
6.8,0.67,0.02,1.8,0.05,5,11,0.9962,3.48,0.52,9.5,-0.0366693478687523,5
4.6,0.52,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1,0.722479670962488,4
7.7,0.935,0.43,2.2,0.114,22,114,0.997,3.25,0.73,9.2,0.00437309882308044,5
8.7,0.29,0.52,1.6,0.113,12,37,0.9969,3.25,0.58,9.5,-0.620544414703952,5
6.4,0.4,0.23,1.6,0.066,5,12,0.9958,3.34,0.56,9.2,1.48962956811905,5
5.6,0.31,0.37,1.4,0.074,12,96,0.9954,3.32,0.58,9.2,-0.726986055484429,5
8.8,0.66,0.26,1.7,0.074,4,23,0.9971,3.15,0.74,9.2,-1.06211906556464,5
6.6,0.52,0.04,2.2,0.069,8,15,0.9956,3.4,0.63,9.4,0.345204717968162,6
6.6,0.5,0.04,2.1,0.068,6,14,0.9955,3.39,0.64,9.4,0.275537580475463,6
8.6,0.38,0.36,3,0.081,30,119,0.997,3.2,0.56,9.4,0.138093270859931,5
7.6,0.51,0.15,2.8,0.11,33,73,0.9955,3.17,0.63,10.2,-0.0814948340591,6
7.7,0.62,0.04,3.8,0.084,25,45,0.9978,3.34,0.53,9.5,-0.0820981993333828,5
10.2,0.42,0.57,3.4,0.07,4,10,0.9971,3.04,0.63,9.6,-1.05954898486309,5
7.5,0.63,0.12,5.1,0.111,50,110,0.9983,3.26,0.77,9.4,-0.585372342283172,5
7.8,0.59,0.18,2.3,0.076,17,54,0.9975,3.43,0.59,10,0.454362947150734,5
7.3,0.39,0.31,2.4,0.074,9,46,0.9962,3.41,0.54,9.4,-1.57140462537268,6
8.8,0.4,0.4,2.2,0.079,19,52,0.998,3.44,0.64,9.2,-0.0581451943298543,5
7.7,0.69,0.49,1.8,0.115,20,112,0.9968,3.21,0.71,9.3,-1.68270693739161,5
7.5,0.52,0.16,1.9,0.085,12,35,0.9968,3.38,0.62,9.5,-0.395857918725593,7
7,0.735,0.05,2,0.081,13,54,0.9966,3.39,0.57,9.8,-0.362329857508646,5
7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,-0.909119682386921,5
7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,0.781691281516332,5
7.5,0.52,0.11,1.5,0.079,11,39,0.9968,3.42,0.58,9.6,-0.6654709124361,5
6.6,0.705,0.07,1.6,0.076,6,15,0.9962,3.44,0.58,10.7,-0.228632213453748,5
9.3,0.32,0.57,2,0.074,27,65,0.9969,3.28,0.79,10.7,-1.66900219339793,5
8,0.705,0.05,1.9,0.074,8,19,0.9962,3.34,0.95,10.5,-0.823240358336585,6
7.7,0.63,0.08,1.9,0.076,15,27,0.9967,3.32,0.54,9.5,-0.109861831133102,6
7.7,0.67,0.23,2.1,0.088,17,96,0.9962,3.32,0.48,9.5,0.492756320132917,5
7.7,0.69,0.22,1.9,0.084,18,94,0.9961,3.31,0.48,9.5,0.17560490795875,5
8.3,0.675,0.26,2.1,0.084,11,43,0.9976,3.31,0.53,9.2,-0.856419180719738,4
9.7,0.32,0.54,2.5,0.094,28,83,0.9984,3.28,0.82,9.6,-0.181172129300598,5
8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,1.28361630223556,5
8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,1.66339814711785,5
6.8,0.785,0,2.4,0.104,14,30,0.9966,3.52,0.55,10.7,-1.56907754709014,6
6.7,0.75,0.12,2,0.086,12,80,0.9958,3.38,0.52,10.1,0.7968359704541,5
8.3,0.625,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1,0.338744720576196,4
6.2,0.45,0.2,1.6,0.069,3,15,0.9958,3.41,0.56,9.2,-0.264775512313177,5
7.8,0.43,0.7,1.9,0.464,22,67,0.9974,3.13,1.28,9.4,0.31364792378205,5
7.4,0.5,0.47,2,0.086,21,73,0.997,3.36,0.57,9.1,0.169824217789348,5
7.3,0.67,0.26,1.8,0.401,16,51,0.9969,3.16,1.14,9.4,1.38969036136478,5
6.3,0.3,0.48,1.8,0.069,18,61,0.9959,3.44,0.78,10.3,0.253593749298571,6
6.9,0.55,0.15,2.2,0.076,19,40,0.9961,3.41,0.59,10.1,-0.111619534353335,5
8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,-1.21520676315805,6
7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,-0.219995121041723,5
9.3,0.39,0.44,2.1,0.107,34,125,0.9978,3.14,1.22,9.5,2.69163130183436,5
7,0.62,0.08,1.8,0.076,8,24,0.9978,3.48,0.53,9,0.215823027597344,5
7.9,0.52,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5,-0.446070150570801,5
8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,-0.681494051470577,6
8.6,0.49,0.29,2,0.11,19,133,0.9972,2.93,1.98,9.8,0.775115467613758,5
7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,-0.416704274733368,5
5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,-0.337490681073872,4
4.7,0.6,0.17,2.3,0.058,17,106,0.9932,3.85,0.6,12.9,-0.259904787848425,6
6.8,0.775,0,3,0.102,8,23,0.9965,3.45,0.56,10.7,-0.599852940145919,5
7,0.5,0.25,2,0.07,3,22,0.9963,3.25,0.63,9.2,-1.56542847842693,5
7.6,0.9,0.06,2.5,0.079,5,10,0.9967,3.39,0.56,9.8,-1.93142413220413,5
8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,0.0315151806983911,6
8.3,0.61,0.3,2.1,0.084,11,50,0.9972,3.4,0.61,10.2,-0.670300362494356,6
7.8,0.5,0.3,1.9,0.075,8,22,0.9959,3.31,0.56,10.4,-0.485242603062525,6
8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,-0.723904071283696,6
8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,1.44774891373563,5
7.2,0.49,0.24,2.2,0.07,5,36,0.996,3.33,0.48,9.4,0.140729035765947,5
8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,1.14473947432773,5
7.8,0.41,0.68,1.7,0.467,18,69,0.9973,3.08,1.31,9.3,-1.45223966700535,5
6.2,0.63,0.31,1.7,0.088,15,64,0.9969,3.46,0.79,9.3,-0.561466713738437,5
8,0.33,0.53,2.5,0.091,18,80,0.9976,3.37,0.8,9.6,-0.100924495200189,6
8.1,0.785,0.52,2,0.122,37,153,0.9969,3.21,0.69,9.3,-0.164751374931216,5
7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,-1.24492112521391,5
8.4,0.62,0.09,2.2,0.084,11,108,0.9964,3.15,0.66,9.8,-1.06563524733264,5
8.4,0.6,0.1,2.2,0.085,14,111,0.9964,3.15,0.66,9.8,-0.756131875885474,5
10.1,0.31,0.44,2.3,0.08,22,46,0.9988,3.32,0.67,9.7,0.59454109777728,6
7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,1.28607690086795,5
9.4,0.4,0.31,2.2,0.09,13,62,0.9966,3.07,0.63,10.5,-0.424228803627052,6
8.3,0.54,0.28,1.9,0.077,11,40,0.9978,3.39,0.61,10,1.53001649046671,6
7.8,0.56,0.12,2,0.082,7,28,0.997,3.37,0.5,9.4,-0.0281396708554483,6
8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,1.64502380304078,6
7,0.69,0.08,1.8,0.097,22,89,0.9959,3.34,0.54,9.2,1.37750797536915,6
7.3,1.07,0.09,1.7,0.178,10,89,0.9962,3.3,0.57,9,0.176328443179594,5
8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,-2.21841316375223,6
7.3,0.695,0,2.5,0.075,3,13,0.998,3.49,0.52,9.2,-0.955650527287971,5
8,0.71,0,2.6,0.08,11,34,0.9976,3.44,0.53,9.5,1.03060911600552,5
7.8,0.5,0.17,1.6,0.082,21,102,0.996,3.39,0.48,9.5,-0.69963715957111,5
9,0.62,0.04,1.9,0.146,27,90,0.9984,3.16,0.7,9.4,-0.154256906213484,5
8.2,1.33,0,1.7,0.081,3,12,0.9964,3.53,0.49,10.9,0.596048031607732,5
8.1,1.33,0,1.8,0.082,3,12,0.9964,3.54,0.48,10.9,-0.240762605046757,5
8,0.59,0.16,1.8,0.065,3,16,0.9962,3.42,0.92,10.5,-0.51451690406024,7
6.1,0.38,0.15,1.8,0.072,6,19,0.9955,3.42,0.57,9.4,-0.319396485590973,5
8,0.745,0.56,2,0.118,30,134,0.9968,3.24,0.66,9.4,-0.2815621491146,5
5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,-0.875529815381241,5
5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,0.767832977335077,5
6.6,0.5,0.01,1.5,0.06,17,26,0.9952,3.4,0.58,9.8,1.43010052741949,6
7.9,1.04,0.05,2.2,0.084,13,29,0.9959,3.22,0.55,9.9,-0.907707998010141,6
8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,-0.638225229954892,5
8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,0.338261276958617,5
7.2,0.415,0.36,2,0.081,13,45,0.9972,3.48,0.64,9.2,0.530874625600824,5
7.8,0.56,0.19,2.1,0.081,15,105,0.9962,3.33,0.54,9.5,-0.501314306909622,5
7.8,0.56,0.19,2,0.081,17,108,0.9962,3.32,0.54,9.5,-0.337365643894897,5
8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,-0.952039814660434,5
8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,-1.9329654164771,5
5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,-0.976677745328128,6
6.3,0.39,0.08,1.7,0.066,3,20,0.9954,3.34,0.58,9.4,1.42896906072592,5
5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,1.15323465358118,6
8.1,0.67,0.55,1.8,0.117,32,141,0.9968,3.17,0.62,9.4,-0.364677062582034,5
5.8,0.68,0.02,1.8,0.087,21,94,0.9944,3.54,0.52,10,0.771410895341986,5
7.6,0.49,0.26,1.6,0.236,10,88,0.9968,3.11,0.8,9.3,0.00798958875746213,5
6.9,0.49,0.1,2.3,0.074,12,30,0.9959,3.42,0.58,10.2,-0.0388915074500571,6
8.2,0.4,0.44,2.8,0.089,11,43,0.9975,3.53,0.61,10.5,0.317764184775044,6
7.3,0.33,0.47,2.1,0.077,5,11,0.9958,3.33,0.53,10.3,1.97734929038722,6
9.2,0.52,1,3.4,0.61,32,69,0.9996,2.74,2,9.4,0.384883455414167,4
7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,-0.894304096671848,5
7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,0.580996838665478,5
7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,-0.0881552636259188,5
7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,-0.436179609411991,5
7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,1.25378208744817,5
7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,-0.642363136197508,5
7.1,0.68,0,2.2,0.073,12,22,0.9969,3.48,0.5,9.3,1.02400977185262,5
6.8,0.6,0.18,1.9,0.079,18,86,0.9968,3.59,0.57,9.3,-0.154738641050079,6
7.6,0.95,0.03,2,0.09,7,20,0.9959,3.2,0.56,9.6,-0.611526295065447,5
7.6,0.68,0.02,1.3,0.072,9,20,0.9965,3.17,1.08,9.2,0.205069070453063,4
7.8,0.53,0.04,1.7,0.076,17,31,0.9964,3.33,0.56,10,0.124539382637154,6
7.4,0.6,0.26,7.3,0.07,36,121,0.9982,3.37,0.49,9.4,0.632579868994623,5
7.3,0.59,0.26,7.2,0.07,35,121,0.9981,3.37,0.49,9.4,0.710578890022131,5
7.8,0.63,0.48,1.7,0.1,14,96,0.9961,3.19,0.62,9.5,1.44077071044302,5
6.8,0.64,0.1,2.1,0.085,18,101,0.9956,3.34,0.52,10.2,-1.13810836934155,5
7.3,0.55,0.03,1.6,0.072,17,42,0.9956,3.37,0.48,9,-1.42126312508634,4
6.8,0.63,0.07,2.1,0.089,11,44,0.9953,3.47,0.55,10.4,0.365451292897696,6
7.5,0.705,0.24,1.8,0.36,15,63,0.9964,3,1.59,9.5,0.927170667605065,5
7.9,0.885,0.03,1.8,0.058,4,8,0.9972,3.36,0.33,9.1,0.818957087399117,4
8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,-0.00350822136812005,6
8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,1.81295594279246,6
7.4,0.62,0.05,1.9,0.068,24,42,0.9961,3.42,0.57,11.5,0.190918507235027,6
7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,-0.128447991926561,5
6.9,0.5,0.04,1.5,0.085,19,49,0.9958,3.35,0.78,9.5,-1.0984684745733,5
7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,-0.387889898062396,5
7.5,0.52,0.42,2.3,0.087,8,38,0.9972,3.58,0.61,10.5,-0.0573988903825891,6
7,0.805,0,2.5,0.068,7,20,0.9969,3.48,0.56,9.6,-0.142123269479637,5
8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,1.49267453160843,5
8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,-0.176889374086179,5
8.9,0.61,0.49,2,0.27,23,110,0.9972,3.12,1.02,9.3,-2.37251368180579,5
7.2,0.73,0.02,2.5,0.076,16,42,0.9972,3.44,0.52,9.3,0.769518774079779,5
6.8,0.61,0.2,1.8,0.077,11,65,0.9971,3.54,0.58,9.3,1.58975945287487,5
6.7,0.62,0.21,1.9,0.079,8,62,0.997,3.52,0.58,9.3,2.06550561434511,6
8.9,0.31,0.57,2,0.111,26,85,0.9971,3.26,0.53,9.7,0.0305749788772179,5
7.4,0.39,0.48,2,0.082,14,67,0.9972,3.34,0.55,9.2,0.606187336022995,5
7.7,0.705,0.1,2.6,0.084,9,26,0.9976,3.39,0.49,9.7,-1.44972197614595,5
7.9,0.5,0.33,2,0.084,15,143,0.9968,3.2,0.55,9.5,0.100177020920245,5
7.9,0.49,0.32,1.9,0.082,17,144,0.9968,3.2,0.55,9.5,1.19809379471471,5
8.2,0.5,0.35,2.9,0.077,21,127,0.9976,3.23,0.62,9.4,0.165207621811208,5
6.4,0.37,0.25,1.9,0.074,21,49,0.9974,3.57,0.62,9.8,-0.677860972524328,6
6.8,0.63,0.12,3.8,0.099,16,126,0.9969,3.28,0.61,9.5,0.0341888276403659,5
7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,-0.0169341148481116,5
7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,-2.28563094763345,5
7.8,0.59,0.33,2,0.074,24,120,0.9968,3.25,0.54,9.4,0.408885404173842,5
7.3,0.58,0.3,2.4,0.074,15,55,0.9968,3.46,0.59,10.2,2.64772192499782,5
11.5,0.3,0.6,2,0.067,12,27,0.9981,3.11,0.97,10.1,1.00511438361369,6
5.4,0.835,0.08,1.2,0.046,13,93,0.9924,3.57,0.85,13,-0.431800904053978,7
6.9,1.09,0.06,2.1,0.061,12,31,0.9948,3.51,0.43,11.4,1.80919370069952,4
9.6,0.32,0.47,1.4,0.056,9,24,0.99695,3.22,0.82,10.3,0.525160882206208,7
8.8,0.37,0.48,2.1,0.097,39,145,0.9975,3.04,1.03,9.3,-0.668495894767191,5
6.8,0.5,0.11,1.5,0.075,16,49,0.99545,3.36,0.79,9.5,1.57887335687275,5
7,0.42,0.35,1.6,0.088,16,39,0.9961,3.34,0.55,9.2,0.195193882249999,5
7,0.43,0.36,1.6,0.089,14,37,0.99615,3.34,0.56,9.2,0.150202367988315,6
12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,-0.283931349639415,7
12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,0.494305396607688,7
7.8,0.57,0.31,1.8,0.069,26,120,0.99625,3.29,0.53,9.3,1.80342282151905,5
7.8,0.44,0.28,2.7,0.1,18,95,0.9966,3.22,0.67,9.4,-0.996114648575601,5
11,0.3,0.58,2.1,0.054,7,19,0.998,3.31,0.88,10.5,0.532837226005269,7
9.7,0.53,0.6,2,0.039,5,19,0.99585,3.3,0.86,12.4,-0.151619792364393,6
8,0.725,0.24,2.8,0.083,10,62,0.99685,3.35,0.56,10,0.470089783167441,6
11.6,0.44,0.64,2.1,0.059,5,15,0.998,3.21,0.67,10.2,0.0821884748091457,6
8.2,0.57,0.26,2.2,0.06,28,65,0.9959,3.3,0.43,10.1,-0.812777248880282,5
7.8,0.735,0.08,2.4,0.092,10,41,0.9974,3.24,0.71,9.8,1.46894752084645,6
7,0.49,0.49,5.6,0.06,26,121,0.9974,3.34,0.76,10.5,-2.07486758088869,5
8.7,0.625,0.16,2,0.101,13,49,0.9962,3.14,0.57,11,1.38853624167132,5
8.1,0.725,0.22,2.2,0.072,11,41,0.9967,3.36,0.55,9.1,-0.313047159063799,5
7.5,0.49,0.19,1.9,0.076,10,44,0.9957,3.39,0.54,9.7,-0.303985142388701,5
7.8,0.53,0.33,2.4,0.08,24,144,0.99655,3.3,0.6,9.5,2.46854515672887,5
7.8,0.34,0.37,2,0.082,24,58,0.9964,3.34,0.59,9.4,-0.521358170796767,6
7.4,0.53,0.26,2,0.101,16,72,0.9957,3.15,0.57,9.4,0.18228963338194,5
6.8,0.61,0.04,1.5,0.057,5,10,0.99525,3.42,0.6,9.5,-1.01440628900695,5
8.6,0.645,0.25,2,0.083,8,28,0.99815,3.28,0.6,10,1.29594472470677,6
8.4,0.635,0.36,2,0.089,15,55,0.99745,3.31,0.57,10.4,0.798695097629884,4
7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,-0.0372486298532664,6
8.9,0.59,0.5,2,0.337,27,81,0.9964,3.04,1.61,9.5,-1.31886855182771,6
9,0.82,0.14,2.6,0.089,9,23,0.9984,3.39,0.63,9.8,2.47795255494223,5
7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,-0.715652098281597,6
6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,0.0856944055688015,5
5.2,0.48,0.04,1.6,0.054,19,106,0.9927,3.54,0.62,12.2,0.20518981141504,7
8,0.38,0.06,1.8,0.078,12,49,0.99625,3.37,0.52,9.9,0.616836584681089,6
8.5,0.37,0.2,2.8,0.09,18,58,0.998,3.34,0.7,9.6,-0.0222328671997827,6
6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,1.61906113654591,5
8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,-2.05440992809688,6
7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,0.646412572314717,6
7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,-0.460184886403221,6
7.2,0.645,0,1.9,0.097,15,39,0.99675,3.37,0.58,9.2,-0.666335228814216,6
7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,-0.247735682306837,6
8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,-0.0372452678746206,6
8.9,0.635,0.37,1.7,0.263,5,62,0.9971,3,1.09,9.3,0.621719897705919,5
12,0.38,0.56,2.1,0.093,6,24,0.99925,3.14,0.71,10.9,1.53188653613263,6
7.7,0.58,0.1,1.8,0.102,28,109,0.99565,3.08,0.49,9.8,0.204623945481385,6
15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,-0.0149001794719578,7
15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,-0.588159453829138,7
7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,-0.304608248918279,6
7.1,0.68,0.07,1.9,0.075,16,51,0.99685,3.38,0.52,9.5,-0.283463789921726,5
8.2,0.6,0.17,2.3,0.072,11,73,0.9963,3.2,0.45,9.3,-0.597102861526826,5
7.7,0.53,0.06,1.7,0.074,9,39,0.99615,3.35,0.48,9.8,0.811550055383489,6
7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,1.24024072025421,6
10.8,0.32,0.44,1.6,0.063,16,37,0.9985,3.22,0.78,10,-0.12809795588943,6
7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,-0.841377722336217,6
11.1,0.35,0.48,3.1,0.09,5,21,0.9986,3.17,0.53,10.5,1.61301922535406,5
7.7,0.775,0.42,1.9,0.092,8,86,0.9959,3.23,0.59,9.5,-0.285149443964939,5
7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,-1.5524632875638,6
8,0.57,0.23,3.2,0.073,17,119,0.99675,3.26,0.57,9.3,2.27476196805723,5
9.4,0.34,0.37,2.2,0.075,5,13,0.998,3.22,0.62,9.2,1.49932921678095,5
6.6,0.695,0,2.1,0.075,12,56,0.9968,3.49,0.67,9.2,0.823537529059723,5
7.7,0.41,0.76,1.8,0.611,8,45,0.9968,3.06,1.26,9.4,-0.0463291558790851,5
10,0.31,0.47,2.6,0.085,14,33,0.99965,3.36,0.8,10.5,-0.358550455780294,7
7.9,0.33,0.23,1.7,0.077,18,45,0.99625,3.29,0.65,9.3,-1.256122252217,5
7,0.975,0.04,2,0.087,12,67,0.99565,3.35,0.6,9.4,-0.615507351792449,4
8,0.52,0.03,1.7,0.07,10,35,0.99575,3.34,0.57,10,-0.482551564955657,5
7.9,0.37,0.23,1.8,0.077,23,49,0.9963,3.28,0.67,9.3,-0.601203144038554,5
12.5,0.56,0.49,2.4,0.064,5,27,0.9999,3.08,0.87,10.9,0.0274984401593956,5
11.8,0.26,0.52,1.8,0.071,6,10,0.9968,3.2,0.72,10.2,-1.03418521582744,7
8.1,0.87,0,3.3,0.096,26,61,1.00025,3.6,0.72,9.8,-0.385764530849857,4
7.9,0.35,0.46,3.6,0.078,15,37,0.9973,3.35,0.86,12.8,0.718133106832377,8
6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,-0.814774914455421,6
11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,0.450222971659477,6
7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,-0.0658452301144152,6
11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,-0.784874454578598,6
10.9,0.37,0.58,4,0.071,17,65,0.99935,3.22,0.78,10.1,-0.677659806671286,5
